"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"PROVIDER PARTNERS HEALTH PLAN, INC.","Provider Partners Health Plans","H8067","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","Rifkin Managed Care Holding, LLC","Philadelphia","256","785 Elkridge Landing Road, Suite 300","","Linthicum Heights","MD","21090","VP of Plan Management","Radice","Sue","","1-410-991-3213","","","Sradice@pphealthplan.com","785 Elkridge Landing Road","Suite 300","Linthicum Heights","MD","21090","01/30/2024"
"PRUITTHEALTH PREMIER NORTH CAROLINA, LLC","PruittHealth Premier","H6345","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","UNICO Services, Inc.","Atlanta","673","1626 jeurgens ct","","norcross","GA","30093","","Sindlinger","Rocio","","1-855-855-0668","","","rocio.sindlinger@allyalign.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/15/2021"
"PRUITTHEALTH PREMIER, INC.","PruittHealth Premier","H3291","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","UNICO Services, Inc.","Atlanta","1,636","1626 Jeurgens Court","","Norcross","GA","30093","","Sindlinger","Rocio","","1-855-855-0668","","","rocio.sindlinger@allyalign.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/15/2021"
"Preferred Care Network, Inc.","UnitedHealthcare","H5420","Local CCP","HMO/HMOPOS","06/01/2005","For Profit","UnitedHealth Group, Inc.","San Francisco","40,379","9100 South Dadeland Boulevard","Suite 1250","Miami","FL","33156","","Customer Service","UHC","","1-800-407-9069","","","UHCMedicareCustomerService@uhc.com","9800 Health Care Lane","","Minnetonka","MN","55343","04/30/2024"
"Primewell Health Services of Arkansas, Inc.","Primewell Health Services","H2722","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Louisiana Health Service & Indemnity Company","Denver","498","130 DeSiard Street","Suite 377","Monroe","LA","71201","Director of Member Servic","Trichel","Amy","","1-888-823-1910","","","atrichel@vhpla.com","130 DeSiard Street, Suite 300","","Monroe","LA","71201","12/22/2022"
"Primewell Health Services of Mississippi Inc.","Primewell Health Services","H7163","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Louisiana Health Service & Indemnity Company","Denver","365","130 DeSiard Street","Suite 344","Monroe","LA","71201","Director of Member Servic","Trichel","Amy","","1-888-823-1910","","","atrichel@vhpla.com","130 DeSiard Street, Suite 300","","Monroe","LA","71201","12/22/2022"
"QCC INSURANCE COMPANY","Independence Blue Cross","H3909","Local CCP","Local PPO","01/01/2002","Not-for-Profit/Non-Profit","Independence Health Group, Inc.","Philadelphia","35,387","1901 MARKET STREET","35TH FLOOR","PHILADELPHIA","PA","191031480","","Service","Customer","","1-888-718-3333","","","info@ibxmedicare.com","PO Box 7799","","Philadelphia","PA","19101-7799","04/29/2015"
"QUARTZ HEALTH PLAN CORPORATION","Quartz Medicare Advantage","H5262","Local CCP","HMO/HMOPOS","08/01/1999","Not-for-Profit/Non-Profit","University of Wisconsin Hospitals and Clincs Autho","Chicago","32,292","2650 Novation Pkwy","","Fitchburg","WI","53713","","Service","Customer","","1-800-394-5566","","","customerservice@quartzbenefits.com","2650 Novation Pkwy","","Fitchburg","WI","53713","12/13/2022"
"QUARTZ HEALTH PLAN MN CORPORATION","Quartz Medicare Advantage","H9834","Local CCP","HMO/HMOPOS","01/01/2013","Not-for-Profit/Non-Profit","University of Wisconsin Hospitals and Clincs Autho","Chicago","3,848","2650 Novation Pkwy","","Fitchburg","WI","53713","","Service","Customer","","1-800-394-5566","","","customerservice@quartzbenefits.com","2650 Novation Pkwy","","Fitchburg","WI","53713","11/06/2023"
"REGENCE BLUECROSS BLUESHIELD OF OREGON","Regence BlueCross BlueShield of Oregon","H3817","Local CCP","Local PPO","07/01/2005","Not-for-Profit/Non-Profit","Cambia Health Solutions, Inc.","Seattle","66,545","200 SW Market St","","Portland","OR","97201","Manager Member Services","Ciuro","Catina","","1-541-618-1268","","","Catina.Ciuro@regence.com","2057 Commerce Dr","","Medford","OR","97504","02/07/2019"
"REGENCE BLUECROSS BLUESHIELD OF OREGON","Regence BlueCross BlueShield of Oregon","H6237","Local CCP","HMO/HMOPOS","01/01/2014","Not-for-Profit/Non-Profit","Cambia Health Solutions, Inc.","Seattle","7,236","200 SW Market St","","Portland","OR","97201","Manager Member Services","Ciuro","Catina","","1-541-618-1268","","","Catina.Ciuro@regence.com","2057 Commerce Dr","","Medford","OR","97504","02/07/2019"
"REGENCE BLUECROSS BLUESHIELD OF UTAH","Regence BlueCross BlueShield of Utah","H4605","Local CCP","Local PPO","07/01/2005","Not-for-Profit/Non-Profit","Cambia Health Solutions, Inc.","Seattle","7,691","200 SW Market St","","Portland","OR","97201","Manager Member Services","Ciuro","Catina","","1-541-618-1268","","","Catina.Ciuro@regence.com","2057 Commerce Dr","","Medford","OR","97504","02/07/2019"
"REGENCE BLUESHIELD","Regence BlueShield","H5009","Local CCP","Local PPO","07/01/2005","Not-for-Profit/Non-Profit","Cambia Health Solutions, Inc.","Seattle","26,324","200 SW Market St","","Portland","OR","97201","Manager Member Services","Ciuro","Catina","","1-541-618-1268","","","Catina.Ciuro@regence.com","2057 Commerce Dr","","Medford","OR","97504","02/07/2019"
"REGENCE BLUESHIELD","Regence BlueShield","H1997","Local CCP","HMO/HMOPOS","01/01/2014","Not-for-Profit/Non-Profit","Cambia Health Solutions, Inc.","Seattle","3,863","200 SW Market St","","Portland","OR","97201","Manager Member Services","Ciuro","Catina","","1-541-618-1268","","","Catina.Ciuro@regence.com","2057 Commerce Dr","","Medford","OR","97504","02/07/2019"
"REGENCE BLUESHIELD OF IDAHO, INC.","Regence BlueShield of Idaho","H1304","Local CCP","Local PPO","07/01/2005","Not-for-Profit/Non-Profit","Cambia Health Solutions, Inc.","Seattle","8,333","200 SW Market St","","Portland","OR","97201","Manager Member Services","Ciuro","Catina","","1-541-618-1268","","","Catina.Ciuro@regence.com","2057 Commerce Dr","","Medford","OR","97504","02/07/2019"
"REGENCE BLUESHIELD OF IDAHO, INC.","Regence BlueShield of Idaho","H1969","Local CCP","HMO/HMOPOS","01/01/2015","Not-for-Profit/Non-Profit","Cambia Health Solutions, Inc.","Seattle","1,718","200 SW Market St","","Portland","OR","97201","Manager Member Services","Ciuro","Catina","","1-541-618-1268","","","Catina.Ciuro@regence.com","2057 Commerce Dr","","Medford","OR","97504","02/07/2019"
"REGION VII AREA AGENCY ON AGING","Sunrise PACE","H9052","National PACE","National PACE","11/01/2021","Not-for-Profit/Non-Profit","Region VII Area Agency on Aging, Inc.","Chicago","57","1615 South Euclid Avenue","","Bay City","MI","48706","PACE COO","Altom","Dayna","","1-810-388-6300","","","altomd@region7aaa.org","1615 S. Euclid","","Bay City","MI","48706","07/05/2024"
"REID HOSPITAL & HEALTH CARE SERVICES, INC.","Reid Health PACE Center","H3522","National PACE","National PACE","10/01/2020","Not-for-Profit/Non-Profit","Reid Hospital & Health Care Services, Inc.","Chicago","72","1100 Reid Parkway","","Richmond","IN","47374","Vice President Continuum","Kester","Billie","","1-765-983-3314","","","billie.kester@reidhealth.org","1100 Reid Parkway, Administration","","Richmond","IN","47374","03/09/2020"
"RENAL PAYER SOLUTIONS INC","Champion Health Plan","H6474","Local CCP","HMO/HMOPOS","01/01/2024","For Profit","Champion Health Plans-USA, LLC.","Seattle","*","19700 Fairchild Road, Suite 230","","Irvine","CA","92612","","Member Services","Champion","","1-800-885-8000","","","memberservices@championpayer.com","19700 Fairchild Road","Suite 230","Irvine","CA","92612","06/07/2024"
"ROCKY MOUNTAIN HEALTH CARE SERVICES","Rocky Mountain PACE","H5167","National PACE","National PACE","12/01/2008","Not-for-Profit/Non-Profit","Rocky Mountain Health Care Services","Dallas","979","8595 Explorer Drive","","Colorado Springs","CO","80920","Chief Experience Officer","Kerr","Melissa","","1-719-466-8777","624","","mkerr@rmhcare.org","8595 Explorer Dr","","Colorado Springs","CO","80920","03/18/2024"
"ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION INC","UnitedHealthcare","H2582","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","UnitedHealth Group, Inc.","San Francisco","11,829","9800 Health Care Lane","","Minnetonka","MN","55343","","Customer Service","UHC","","1-800-643-4845","","","UHCMedicareCustomerService@uhc.com","9800 Health Care Lane","","Minnetonka","MN","55343","04/30/2024"
"SAINT JOSEPH PACE","Saint Joseph PACE","H9842","National PACE","National PACE","08/01/2016","Not-for-Profit/Non-Profit","Trinity Health Corporation","Chicago","147","250 E. Day Rd","","Mishawaka","IN","46545","Executive Director","Huegel","Lori Anne","","1-574-247-8763","","","lorianne.huegel@trinity-health.org","250 E. Day Rd.","","Mishawaka","IN","46545","11/17/2022"
"SAMARITAN HEALTH PLANS, INC.","Samaritan Advantage Health Plans","H3811","Local CCP","HMO/HMOPOS","06/01/2005","Not-for-Profit/Non-Profit","Samaritan Health Services","Seattle","12,768","2300 NW Walnut Blvd","","CORVALLIS","OR","97330","Manager - SHP Business De","Crayk","Janice","","1-541-768-5192","","","Jcrayk@samhealth.org","2300 NW Walnut Blvd","","Corvallis","OR","97330","10/10/2023"
"SAN MATEO HEALTH COMMISSION","HEALTH PLAN OF SAN MATEO","H6019","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","Health Plan of San Mateo","San Francisco","8,394","801 Gateway Blvd","Suite 100","South San Francisco","CA","94080","","Unit","Compliance","","1-650-616-0050","","1-650-616-0060","compliance@hpsm.org","801 Gateway Blvd","Suite 100","South San Francisco","CA","94080","02/03/2022"
"SANFORD HEALTH PLAN","Great Plains Medicare Advantage","H8967","Local CCP","HMO/HMOPOS","01/01/2018","Not-for-Profit/Non-Profit","Sanford Health","Dallas","196","300 Cherapa Place, Suite 201","","Sioux Falls","SD","57103","Senior Director of Risk &","Jansick","Aleesa","","1-605-328-7182","","","aleesa.jansick@sanfordhealth.org","300 N Cherapa Place","Suite 201","Sioux Falls","SD","57103","08/04/2023"
"SANFORD HEALTH PLAN","Align powered by Sanford Health Plan","H8385","Local CCP","Local PPO","01/01/2022","Not-for-Profit/Non-Profit","Sanford Health","Dallas","3,716","300 Cherapa Place, Suite 201","","Sioux Falls","SD","57103","Senior Director of Risk &","Jansick","Aleesa","","1-605-328-7182","","","aleesa.jansick@sanfordhealth.org","300 N Cherapa Place","Suite 201","Sioux Falls","SD","57103","01/04/2023"
"SANFORD HEALTH PLAN","Great Plains Medicare Advantage","H1787","Local CCP","HMO/HMOPOS","01/01/2018","Not-for-Profit/Non-Profit","Sanford Health","Dallas","299","300 Cherapa Place, Suite 201","","Sioux Falls","SD","57103","Senior Director of Risk &","Jansick","Aleesa","","1-605-328-7182","","","aleesa.jansick@sanfordhealth.org","300 N Cherapa Place","Suite 201","Sioux Falls","SD","57103","08/04/2023"
"SANFORD HEALTH PLAN OF MINNESOTA","Align powered by Sanford Health Plan","H3186","Local CCP","Local PPO","01/01/2022","Not-for-Profit/Non-Profit","Sanford Health","Dallas","868","1600 N. Kniss","","Luverne","MN","56156","Senior Director of Risk &","Jansick","Aleesa","","1-605-328-7182","","","aleesa.jansick@sanfordhealth.org","300 N Cherapa Place","Suite 201","Sioux Falls","SD","57103","08/04/2023"
"SANTA CLARA COUNTY HEALTH AUTHORITY","Santa Clara Family Health Plan","H4045","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","SANTA CLARA COUNTY HEALTH AUTHORITY","San Francisco","10,675","6201 San Ignacio Ave","","San Jose","CA","95119","","Services","Customer","","1-877-723-4795","","1-408-874-1965","callcentermanagement@scfhp.com","6201 San Ignacio Ave","","San Jose","CA","95119","03/26/2024"
"SANTE FE EMPLOYEES HOSPITAL ASSOCIATION","Santa Fe Employes Hospital Assn. - Coast Lines","H6053","HCPP - 1833 Cost","HCPP - 1833 Cost","01/01/1987","Not-for-Profit/Non-Profit","Sante Fe Employees Hospital Assn.","San Francisco","767","551 E. SAN BERNARDINO ROAD","","COVINA","CA","91723","CEO","Philippi","Larry","D","1-877-968-3550","","1-626-967-3161","larrydphilippi@gmail.com","551 E. San Bernardino Road,","","Covina","CA","91723","05/31/2024"
"SAPPHIRE EDGE, INC.","Blue Cross and Blue Shield of Nebraska","H8181","Local CCP","Local PPO","01/01/2020","Not-for-Profit/Non-Profit","Blue Cross Blue Shield of Nebraska","Kansas City","6,981","1919 Aksarben Dr","","Omaha","NE","68180","Manager, Provider Service","Trice","Ashley","","1-402-982-7000","","","Ashley.Trice@nebraskablue.com","1919 Aksarben Dr","","Omaha","NE","68180","01/23/2024"
"SAPPHIRE EDGE, INC.","Blue Cross and Blue Shield of Nebraska","H3170","Local CCP","HMO/HMOPOS","01/01/2017","Not-for-Profit/Non-Profit","Blue Cross Blue Shield of Nebraska","Kansas City","698","1919 Aksarben Dr","","Omaha","NE","68180","Manager, Provider Service","Trice","Ashley","","1-402-982-7000","","","Ashley.Trice@nebraskablue.com","1919 Aksarben Dr","","Omaha","NE","68180","01/23/2024"
"SCAN DESERT HEALTH PLAN, INC.","SCAN Desert Health Plan","H1822","Local CCP","HMO/HMOPOS","01/01/2022","Not-for-Profit/Non-Profit","SCAN Group","San Francisco","2,373","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","01/19/2021"
"SCAN HEALTH PLAN","SCAN Health Plan","H9104","Local CCP","HMO/HMOPOS","03/01/1985","Not-for-Profit/Non-Profit","SCAN Group","San Francisco","*","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","05/16/2024"
"SCAN HEALTH PLAN","SCAN Health Plan","H0976","Local CCP","HMO/HMOPOS","01/01/2024","Not-for-Profit/Non-Profit","SCAN Group","San Francisco","19,837","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","02/06/2023"
"SCAN HEALTH PLAN","VillageHealth","H5943","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","SCAN Group","San Francisco","726","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","02/03/2020"
"SCAN HEALTH PLAN","SCAN Health Plan","H5425","Local CCP","HMO/HMOPOS","05/01/2005","Not-for-Profit/Non-Profit","SCAN Group","San Francisco","253,384","3800 Airport Way","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","02/03/2020"
"SCAN HEALTH PLAN NEVADA, INC.","SCAN Health Plan","H0978","Local CCP","HMO/HMOPOS","01/01/2022","Not-for-Profit/Non-Profit","SCAN Group","San Francisco","1,311","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","01/19/2021"
"SCAN HEALTH PLAN NEW MEXICO","SCAN Health Plan New Mexico","H5244","Local CCP","HMO/HMOPOS","01/01/2024","Not-for-Profit/Non-Profit","SCAN Group","San Francisco","76","3800 Kilroy Airport Way, Suite 100","","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","02/06/2023"
"SCAN HEALTH PLAN TEXAS, INC.","SCAN Health Plan","H8902","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","SCAN Group","San Francisco","234","3800 Kilroy Airport Way, Suite 100","Suite 100","Long Beach","CA","90806","Director, (Customer) Memb","McBeath","Kim","","1-877-778-7226","","","kmcbeath@scanhealthplan.com","3800 Kilroy Airport Way","Suite 100","Long Beach","CA","90806","12/17/2021"
"SCOTT AND WHITE HEALTH PLAN","Baylor Scott & White Health Plan","H8142","Local CCP","HMO/HMOPOS","01/01/2018","Not-for-Profit/Non-Profit","Baylor Scott & White Holdings","Denver","26,814","1206 West Campus Drive","","Temple","TX","76502","Compliance Officer","Cornett","Amy","","1-254-298-3211","","","Amy.Cornett@BSWHealth.org","1206 West Campus Drive","","Temple","TX","76502","07/26/2024"
"SECURITY HEALTH PLAN OF WISCONSIN, INC.","Security Health Plan of Wisconsin, Inc.","H5211","Local CCP","HMO/HMOPOS","08/01/2002","Not-for-Profit/Non-Profit","Marshfield Clinic Health System, Inc.","Chicago","64,771","1515 SAINT JOSEPH AVENUE","PO Box 8000","MARSHFIELD","WI","54449","Director of Member Experi","Baur","Ken","","1-715-221-9556","","1-715-221-9500","baur.ken@securityhealth.org","1515  Saint Joseph Avenue","","Marshfield","WI","54449","12/31/2019"
"SELECT HEALTH OF SOUTH CAROLINA, INC.","First Choice VIP Care (HMO-D-SNP)","H4739","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","Independence Health Group, Inc.","Philadelphia","200","4390 Belle Oaks Dr., Suite 400","","Charleston","SC","29405","","Services","Provider","","1-888-978-0862","","","VIPProviderComm@amerihealthcaritas.com","The AmeriHealth Caritas Family of Companies","200 Stevens Dr.","Philadelphia","PA","19113","02/12/2021"
"SELECT HEALTH OF SOUTH CAROLINA, INC.","FIRST CHOICE VIP CARE PLUS","H8213","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2015","For Profit","Independence Health Group, Inc.","Atlanta","3,815","4930 Belle Oaks Drive","400","North Charleston","SC","294058561","","Services","Provider","","1-888-978-0862","","","VIPProviderComm@amerihealthcaritas.com","The AmeriHealth Caritas Family of Companies","200 Stevens Dr.","Philadelphia","PA","19113","01/12/2017"
"SELECTCARE OF TEXAS, INC.","Wellcare","H4506","Local CCP","HMO/HMOPOS","03/01/2001","For Profit","Centene Corporation","Denver","28,723","7700 Forsyth","","St. Louis","MO","63105","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8725 Henderson Rd","","Tampa","FL","33634","06/20/2024"
"SELECTHEALTH, INC.","Select Health","H2246","Local CCP","Local PPO","01/01/2023","Not-for-Profit/Non-Profit","Intermountain Health Care, Inc.","Dallas","2,785","5381 S Green St","","Murray","UT","84123","Director of Medicare Prod","Holt","Kaleb","","1-801-442-7954","","","kaleb.holt@selecthealth.org","5381 S. Green Street","","Murray","UT","84123","06/07/2024"
"SELECTHEALTH, INC.","Select Health","H1994","Local CCP","HMO/HMOPOS","01/01/2013","Not-for-Profit/Non-Profit","Intermountain Health Care, Inc.","Dallas","56,653","5381 Green Street","","Murray","UT","84123","Director of Medicare Prod","Holt","Kaleb","","1-801-442-7954","","","kaleb.holt@selecthealth.org","5381 S. Green Street","","Murray","UT","84123","06/07/2024"
"SENIOR CARE CONNECTION, INC.","Eddy SeniorCare","H3322","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","Trinity Health Corporation","New York","407","1938 Curry Road","","SCHENECTADY","NY","12303","Executive Director","Mazzacco","Michelle","","1-518-669-2694","","1-518-382-3398","Michelle.Mazzacco@sphp.com","1938 Curry Road","","Schenectady","NY","12303","09/20/2020"
"SENIOR LIFE ALTOONA, INC.","Senior LIFE Altoona / Ebensburg / Indiana","H5902","National PACE","National PACE","05/01/2011","For Profit","Senior LIFE Altoona, Inc.","Philadelphia","551","209 Sigma Drive","","Pittsburgh","PA","15238","Chief Executive Officer","Irwin","Mark","","1-814-535-6000","22101","1-814-248-7902","Mirwin@pace-cs.com","401 Broad Street","","Johnstown","PA","15906","02/23/2017"
"SENIOR LIFE GREENSBURG, INC.","Senior LIFE Greensburg","H2937","National PACE","National PACE","02/01/2013","For Profit","Senior LIFE Greensburg, Inc.","Philadelphia","202","209 Sigma Drive","","Pittsburgh","PA","15238","Chief Executive Officer","Irwin","Mark","","1-814-535-6000","22101","1-814-248-7902","Mirwin@pace-cs.com","401 Broad Street","","Johnstown","PA","15906","02/23/2017"
"SENIOR LIFE LEHIGH VALLEY, INC.","Senior LIFE Lehigh Valley / Reading","H5978","National PACE","National PACE","02/01/2009","For Profit","Senior LIFE Lehigh Valley, Inc.","Philadelphia","562","209 Sigma Drive","","Pittsburgh","PA","15238","Chief Executive Officer","Irwin","Mark","","1-814-535-6000","22101","1-814-248-7902","Mirwin@pace-cs.com","401 Broad Street","","Johnstown","PA","15906","02/23/2017"
"SENIOR LIFE YORK, INC.","Senior LIFE York","H0819","National PACE","National PACE","05/01/2011","For Profit","Senior LIFE York, Inc.","Philadelphia","391","209 Sigma Drive","","Pittsburgh","PA","15238","Chief Executive Officer","Irwin","Mark","","1-814-535-6000","22101","1-814-248-7902","Mirwin@pace-cs.com","401 Broad Street","","Johnstown","PA","15906","02/23/2017"
"SENIOR TOTAL LIFE CARE, INC.","Senior Total Life Care","H4235","National PACE","National PACE","01/01/2014","Not-for-Profit/Non-Profit","CaroMont Health, Inc.","Atlanta","264","1875 Remount Road","","Gastonia","NC","28054","Executive Director","Kenzig","Cathy","","1-704-874-0603","","","ckenzig@seniorTLC.org","1875 Remount Rd.","","Gastonia","NC","28054","12/29/2014"
"SENIOR WHOLE HEALTH OF NEW YORK, INC.","Senior Whole Health of New York","H5992","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","Molina Healthcare, Inc.","New York","558","15 MetroTech Center, 11th Floor","","Brooklyn","NY","11201","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","04/05/2024"
"SENIOR WHOLE HEALTH, LLC","Senior Whole Health","H2224","Local CCP","HMO/HMOPOS","08/01/2004","For Profit","Molina Healthcare, Inc.","New York","11,760","1075 Main Street, Suite 400","","Waltham","MA","02451","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","12/14/2021"
"SENIORLIFE WASHINGTON, INC.","Senior LIFE Washington / Uniontown / Greene","H2992","National PACE","National PACE","05/01/2011","For Profit","SeniorLife Washington, Inc.","Philadelphia","517","209 Sigma Drive","","Pittsburgh","PA","15238","Cheif Executive Officer","Irwin","Mark","","1-814-535-6000","22101","1-814-248-7902","Mirwin@pace-cs.com","401 Broad Street","","Johnstown","PA","15906","02/23/2017"
"SENTARA HEALTH PLANS","Sentara Medicare","H2563","Local CCP","HMO/HMOPOS","01/01/2014","Not-for-Profit/Non-Profit","Sentara Health Care (SHC)","Philadelphia","36,150","1300 Sentara Park","","Virginia Beach","VA","23464","Member Services","MEMBER SERVICES","OPTIMA","","1-800-927-6048","","","members@optimahealth.com","1300 Sentara Park","","Virginia Beach","VA","23464","08/04/2023"
"SENTARA LIFE CARE CORPORATION, INC","Sentara PACE","H2941","National PACE","National PACE","11/01/2007","Not-for-Profit/Non-Profit","Sentara Health Care (SHC)","Philadelphia","227","535 Independence Parkway","Suite 100","Chesapeake","VA","23320","Site Director","Bethune","Sabrina","","1-757-252-7805","","","tsbethu1@sentara.com","5900 East Virginia Beach Blvd","Ste 260","Norfolk","VA","23502","02/15/2024"
"SEQUOIA PACE, LLC","WelbeHealth","H2384","National PACE","National PACE","07/01/2020","For Profit","WelbeHealth LLC.","San Francisco","551","1649 Van Ness Ave","","Fresno","CA","93721","","Grant","Alexsa","","1-650-336-0300","","","alexsa.grant@welbehealth.com","440 N BARRANCA AVE #4051","","COVINA","CA","91723","01/23/2023"
"SERENITY CARE, INC.","Serenity Care PACE","H0477","National PACE","National PACE","05/01/2014","Not-for-Profit/Non-Profit","Serenity Care, Inc.","New York","488","P.O.Box 2006","","Andover","MA","01810","","Tannery","Bob","","1-888-278-7000","","","sales@pharmastarpbm.com","P.O.Box","","Eau Claire","WI","54702","05/24/2022"
"SHARED HEALTH MISSISSIPPI, INC.","Shared Health Dual Freedom","H9946","Local CCP","Local PPO","01/01/2024","For Profit","BlueCross BlueShield of Tennessee","Atlanta","495","1 Cameron Hill Circle","","Chattanooga","TN","37402","","Service","Customer","","1-877-258-3002","","","info@sharedhealth.com","2501 McGavock Pike","Suite 600","Nashville","TN","37214","01/05/2024"
"SHARED HEALTH MISSISSIPPI, INC.","Shared Health Dual Plus","H3015","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","BlueCross BlueShield of Tennessee","Atlanta","5,137","1 Cameron Hill Cir","","Chattanooga","TN","37402","","Service","Customer","","1-877-258-3002","","","info@sharedhealth.com","2501 McGavock Pike","Suite 600","Nashville","TN","37214","11/22/2021"
"SHARP HEALTH PLAN","Sharp Health Plan","H5386","Local CCP","HMO/HMOPOS","01/01/2015","Not-for-Profit/Non-Profit","Sharp Healthcare","San Francisco","15,186","8520 Tech Way","Suite 201","San Diego","CA","921231450","Vice President and Chief","Pels-Beck","Leslie","","1-858-499-8244","","","Leslie.Pels-Beck@sharp.com","8520 Tech Way","Suite 201","San Diego","CA","92123-1450","06/01/2016"
"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealthcare","H2001","Local CCP","Local PPO","08/01/2005","For Profit","UnitedHealth Group, Inc.","San Francisco","1,999,765","2720 N. Tenaya Way","","Las Vegas","NV","89128","","Customer Service","UHC","","1-800-643-4845","","","UHCMedicareCustomerService@uhc.com","9800 Health Care Lane","","Minnetonka","MN","55343","04/30/2024"
"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealthcare","H5652","Local CCP","HMO/HMOPOS","09/01/2005","For Profit","UnitedHealth Group, Inc.","San Francisco","6,546","2720 N. Tenaya Way","","Las Vegas","NV","89128","","Customer Service","UHC","","1-866-314-8188","","","UHCMedicareCustomerService@uhc.com","9800 Health Care Lane","","Minnetonka","MN","55343","04/30/2024"
"SIGNATURE ADVANTAGE, LLC","Signature Advantage (HMO SNP)","H2400","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","SA Plan, LLC","Philadelphia","1,010","805 N Wihttington Parkway","","Louisville","KY","40222","CEO","Kennedy","Heather","","1-844-214-8633","711","","Heather.Kennedy@signatureadvantageplan.com","805 N Whittington Parkway","","Louisville","KY","40222","07/08/2024"
"SILVERSCRIPT INSURANCE COMPANY","Aetna Medicare","H2293","Local CCP","Local PPO","01/01/2023","For Profit","CVS Health Corporation","Philadelphia","140,212","1021 Reams Fleming Boulevard","","Franklin","TN","37064","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/11/2022"
"SILVERSUMMIT HEALTHPLAN, INC.","Wellcare by Allwell","H8458","Local CCP","Local PPO","01/01/2022","For Profit","Centene Corporation","Denver","425","7700 Forsyth Blvd","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
